,ticker,ticker_price,call_1,put_1,difference_1,strike_1,expiry_1,call_2,put_2,difference_2,strike_2,expiry_2,call_3,put_3,difference_3,strike_3,expiry_3,call_4,put_4,difference_4,strike_4,expiry_4,call_5,put_5,difference_5,strike_5,expiry_5,call_6,put_6,difference_6,strike_6,expiry_6,call_7,put_7,difference_7,strike_7,expiry_7,call_8,put_8,difference_8,strike_8,expiry_8,call_9,put_9,difference_9,strike_9,expiry_9,call_10,put_10,difference_10,strike_10,expiry_10,call_11,put_11,difference_11,strike_11,expiry_11,call_12,put_12,difference_12,strike_12,expiry_12,call_13,put_13,difference_13,strike_13,expiry_13,call_14,put_14,difference_14,strike_14,expiry_14,call_15,put_15,difference_15,strike_15,expiry_15,call_16,put_16,difference_16,strike_16,expiry_16,call_17,put_17,difference_17,strike_17,expiry_17,call_18,put_18,difference_18,strike_18,expiry_18
0,AA,26.71,1.03,0.95,0.299513290902284,26500,20240308,0.69,0.54,0.5615874204417818,26500,20240301,1.33,1.69,-1.3478098090602766,27000,20240322,1.3,1.2,0.37439161362785506,26500,20240315,3.15,1.37,6.664170722575813,25000,20240419,1.49,1.88,-1.460127293148633,27000,20240328,1.66,1.99,-1.235492324971921,27000,20240405,3.65,1.8,6.926244852115312,25000,20240517,4.45,2.45,7.487832272557095,25000,20240719,4.05,2.17,7.038562336203668,25000,20240621,5.45,3.25,8.236615499812805,25000,20241018,5.15,3.05,7.8622238861849505,25000,20240920,9.65,5.6,15.16286035192812,25000,20260116,6.3,3.95,8.798202920254585,25000,20250117,,,,,,,,,,,,,,,,,,,,
1,AAL,15.5,0.23,0.22,0.06451612903225812,15500,20240301,0.45,0.42,0.19354838709677435,15500,20240308,0.57,0.52,0.32258064516128987,15500,20240315,0.72,0.65,0.45161290322580616,15500,20240328,0.66,0.6,0.3870967741935487,15500,20240322,0.75,1.13,-2.451612903225806,16000,20240419,0.8,0.71,0.5806451612903231,15500,20240405,1.7,0.96,4.774193548387097,15000,20240621,1.49,0.82,4.322580645161291,15000,20240517,1.71,1.79,-0.516129032258065,16000,20240920,1.54,1.68,-0.9032258064516123,16000,20240816,3.4,2.01,8.967741935483872,15000,20250620,2.8,1.66,7.354838709677419,15000,20250117,3.9,2.37,9.870967741935482,15000,20251219,3.5,2.08,9.161290322580646,15000,20250718,4.45,2.69,11.354838709677422,15000,20260618,4.0,2.41,10.258064516129032,15000,20260116,5.0,4.55,2.903225806451614,15000,20261218
2,A,132.585,3.6,5.6,-1.5084662669231055,135000,20240315,5.5,6.9,-1.0559263868461743,135000,20240419,6.9,7.8,-0.6788098201153973,135000,20240517,8.6,9.0,-0.30169325338462144,135000,20240621,9.5,9.5,0.0,135000,20240719,16.3,13.2,2.338122713730815,135000,20250117,10.9,10.2,0.5279631934230878,135000,20240816,25.0,17.6,5.581325187615491,135000,20260116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AADI,2.07,0.2,0.7,-24.154589371980677,2500,20240419,0.15,0.85,-33.81642512077295,2500,20240315,2.75,1.15,77.29468599033818,2500,20241018,0.45,0.9,-21.73913043478261,2500,20240719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1BXSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1INVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1LNCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1LUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
